username,tweet_id,tweet_text,discussion_link,iso_8601_timestamp,datetime_timestamp,images,video_preview
Web3DomainStore,1723778739580940784," !!! Become “Unstoppable!!!” 
 https://unstoppabledomains.com/?ref=c7065c90afc7488…
#Mario #SuperMarioBros #Nintendo #Web3 #Luigi #SNES #Crypto #domainforsale #Web3Revolution #NFT #NFTart #Domains",https://twitter.com/Web3DomainStore/status/1723778739580940784,2023-11-12T19:04:12.000Z,2023-11-12 19:04:12,['https://pbs.twimg.com/media/F-wXoAKXkAAMzcU?format=jpg&name=small'],[]
GlamourOEtim,1723747225178669335,"Shilling you Exzo Network Blockchain
@Exzo_Network 
Best of the best

$XZO #Web3 #Crypto",https://twitter.com/GlamourOEtim/status/1723747225178669335,2023-11-12T16:58:58.000Z,2023-11-12 16:58:58,['https://pbs.twimg.com/media/F-v69mJWQAAaCVl?format=jpg&name=small'],[]
the_vrk,1723733568159883291," It's not a joke, HUGE project INCOMING!

#Crypto #Web3 #ETH #BAYC #MAYC $ETH $BTC $BNB $SOL
$XZO #ExzoNetwork #Web3 #XZO #blockchain @Exzo_Network",https://twitter.com/the_vrk/status/1723733568159883291,2023-11-12T16:04:42.000Z,2023-11-12 16:04:42,['https://pbs.twimg.com/media/F-vuSNjXMAAj2R-?format=png&name=360x360'],[]
axeodust,1723772027746627632,"Web3.0 Fam, I did a thing … 

After LONG consideration, decided to pull the trigger and get my FIRST @KitaroStudios NFT! 

I’m a bit lost , trying to locate & connect w ALL my Kitaro’s Fam #KitaroFollowKitaro 
#KitaroWorld #KitaroNFT #NFT  #KitaroStudios",https://twitter.com/axeodust/status/1723772027746627632,2023-11-12T18:37:32.000Z,2023-11-12 18:37:32,['https://pbs.twimg.com/media/F-wRhX0XUAArH-f?format=jpg&name=small'],[]
ThePaulOla,1723795773010104637,"Got an idea of a CODM Web3 tournament 

Winning Squad shares $2,000 USDT

Do we have enough pro players and gamers here?",https://twitter.com/ThePaulOla/status/1723795773010104637,2023-11-12T20:11:53.000Z,2023-11-12 20:11:53,[],[]
Nawem_,1723537818121867611,"This is the Pi number that has been mined since the early days and was admirably migrated to the mainnet by a certain pioneer. Can any of us beat this record? 
#PiNetwork
#Web3
#blockchain",https://twitter.com/Nawem_/status/1723537818121867611,2023-11-12T03:06:52.000Z,2023-11-12 03:06:52,['https://pbs.twimg.com/media/F-s8gtJasAARJWd?format=jpg&name=small'],[]
satoshialtmast,1723746944340664442,Tomorrow $XZO will be trending everywhere  #Web3 #Crypto,https://twitter.com/satoshialtmast/status/1723746944340664442,2023-11-12T16:57:51.000Z,2023-11-12 16:57:51,[],[]
KhudheyN,1723767021723107667,"We are Pioneers of Pi from Tanzania 
Together we can build new world with Pi.
#Web3    #PiCoin #Crypto #PiPayment #BlockChain #Picommunity #PiHackathon #Pimining #Pi #GCV #CryptoCommunity #X #cryptocurrency #PiNews #BTC #NFT #DeFi #ETH #news",https://twitter.com/KhudheyN/status/1723767021723107667,2023-11-12T18:17:38.000Z,2023-11-12 18:17:38,[],['https://pbs.twimg.com/ext_tw_video_thumb/1723766909445808128/pu/img/NfPTC6Q3K4lCAJL9.jpg']
BattleBears,1723687450906890635,"With tournaments coming, we can't wait to introduce our top players like rockstars!  So inspired by #Worlds2023 #Web3",https://twitter.com/BattleBears/status/1723687450906890635,2023-11-12T13:01:27.000Z,2023-11-12 13:01:27,[],['https://pbs.twimg.com/ext_tw_video_thumb/1723685425016160256/pu/img/Kntk66K1_6LJ9RRG.jpg']
MJMoller88,1723761826742276492,"So close to launch, cannot wait. Its been a joirney so far but it is still just the beginning. There is no limit to what @Exzo_Network can achieve with the brains of @Exzo_Dev at the wheel.  #Web3 $XZO #Blockchain #Layer1",https://twitter.com/MJMoller88/status/1723761826742276492,2023-11-12T17:57:00.000Z,2023-11-12 17:57:00,[],[]
mintyfingers_,1723744961751871589,"33% online on a mfing SUNDAY

Myra = MOST ACTIVE MFERS IN WEB3",https://twitter.com/mintyfingers_/status/1723744961751871589,2023-11-12T16:49:59.000Z,2023-11-12 16:49:59,['https://pbs.twimg.com/media/F-v4XZEXgAAq9rz?format=png&name=360x360'],[]
Acad_Labs,1723732164918067228,"#Web2 platforms can't effectively allocate educational resources.

But #Web3 can. 

Here's why:



(1/6)",https://twitter.com/Acad_Labs/status/1723732164918067228,2023-11-12T15:59:08.000Z,2023-11-12 15:59:08,['https://pbs.twimg.com/media/F-vtRJyboAA-tZ8?format=jpg&name=small'],[]
dianne_web3,1723716557103137143,"“Make a wish and someday it may come true.” 

Ever since Potatoz stage 5 was announced, I always wished and prayed that I would get the Naruto inspired Potatoz. One year later, I got the chance to have it finally!

This is the best and happiest purchase I ever had!
@Memeland",https://twitter.com/dianne_web3/status/1723716557103137143,2023-11-12T14:57:06.000Z,2023-11-12 14:57:06,[],[]
GlamourOEtim,1723745426958884927,"Exzo Network Blockchain is the blueprint of all Layer One Blockchain 
@cz_binance
@Mrbankstips
@AltcoinDailyio
@Ashcryptoreal
@TheCryptoHero
@VitalikButerin
@WhaleInsider
@elonmusk
@BSCGemsAlert
@cryptocom
@roqqupay
@mrbayoa1
@jaredadcrypto
@DONJAZZY
$XZO #Web3 #Crypto",https://twitter.com/GlamourOEtim/status/1723745426958884927,2023-11-12T16:51:50.000Z,2023-11-12 16:51:50,['https://pbs.twimg.com/media/F-v5UvpW4AAlkro?format=jpg&name=small'],[]
MASTONDONE,1723806222493634839,"GM to all in web3

Consistency is key. Show them who you are. 

Tonight at 10:00 pm EST the #deadmigos , show up again.

We’re here to stay, anon",https://twitter.com/MASTONDONE/status/1723806222493634839,2023-11-12T20:53:24.000Z,2023-11-12 20:53:24,[],[]
